train/entropy_loss,train/reward,time/fps,time/time_elapsed,time/total_timesteps,train/std,time/iterations,train/n_updates,train/value_loss,train/learning_rate,train/explained_variance,train/policy_loss
-41.22878646850586,0.14356898,84,5,500,1.0028332471847534,100,99,6.866952419281006,0.0007,-0.41039586067199707,85.80073547363281
-41.28767395019531,1.0305356,94,10,1000,1.0048232078552246,200,199,1.5835984945297241,0.0007,0.0,45.6309814453125
-41.300350189208984,-6.0471983,98,15,1500,1.0052862167358398,300,299,36.181922912597656,0.0007,-0.027489542961120605,235.70213317871094
-41.3529052734375,-1.5687237,101,19,2000,1.0074706077575684,400,399,3.672947406768799,0.0007,-1.1920928955078125e-07,44.48591232299805
-41.308528900146484,7.8943663,102,24,2500,1.005720615386963,500,499,117.62581634521484,0.0007,0.0,-341.259765625
-41.329383850097656,8.014247,103,28,3000,1.006426215171814,600,599,13.903368949890137,0.0007,-0.12436211109161377,-117.8988037109375
-41.39313888549805,2.000386,104,33,3500,1.0086495876312256,700,699,9.96851634979248,0.0007,0.0,126.16390228271484
-41.444374084472656,1.1810794,105,37,4000,1.0104376077651978,800,799,1.0173923969268799,0.0007,0.0767374038696289,37.483638763427734
-41.4992561340332,0.75179505,106,42,4500,1.0122736692428589,900,899,0.6154786944389343,0.0007,5.960464477539063e-08,-32.52268981933594
-41.52509307861328,0.2631963,106,46,5000,1.0133672952651978,1000,999,22.94632911682129,0.0007,-1.1920928955078125e-07,-133.30682373046875
-41.5587272644043,0.19338188,107,51,5500,1.0146288871765137,1100,1099,2.076725721359253,0.0007,0.0,60.011329650878906
-41.52790832519531,1.5365807,107,55,6000,1.0134620666503906,1200,1199,1.7755012512207031,0.0007,0.10590595006942749,28.475250244140625
-41.54958724975586,8.280785,107,60,6500,1.0141589641571045,1300,1299,37.085391998291016,0.0007,0.0052394866943359375,-57.847450256347656
-41.57377243041992,1.553943,108,64,7000,1.015249252319336,1400,1399,12.170478820800781,0.0007,-0.044202566146850586,145.6309814453125
-41.592628479003906,0.17032371,108,69,7500,1.0157285928726196,1500,1499,0.09588351100683212,0.0007,0.040925681591033936,0.8760196566581726
-41.57633972167969,2.0453374,108,73,8000,1.0151244401931763,1600,1599,3.4345223903656006,0.0007,-1.1920928955078125e-07,-71.54357147216797
